areaCode,areaName,areaType,date,newAdmissions
E40000003,London,nhsRegion,2021-08-03,120
E40000003,London,nhsRegion,2021-08-02,99
E40000003,London,nhsRegion,2021-08-01,123
E40000003,London,nhsRegion,2021-07-31,124
E40000003,London,nhsRegion,2021-07-30,126
E40000003,London,nhsRegion,2021-07-29,129
E40000003,London,nhsRegion,2021-07-28,106
E40000003,London,nhsRegion,2021-07-27,132
E40000003,London,nhsRegion,2021-07-26,162
E40000003,London,nhsRegion,2021-07-25,130
E40000003,London,nhsRegion,2021-07-24,134
E40000003,London,nhsRegion,2021-07-23,104
E40000003,London,nhsRegion,2021-07-22,141
E40000003,London,nhsRegion,2021-07-21,126
E40000003,London,nhsRegion,2021-07-20,122
E40000003,London,nhsRegion,2021-07-19,117
E40000003,London,nhsRegion,2021-07-18,101
E40000003,London,nhsRegion,2021-07-17,100
E40000003,London,nhsRegion,2021-07-16,85
E40000003,London,nhsRegion,2021-07-15,83
E40000003,London,nhsRegion,2021-07-14,86
E40000003,London,nhsRegion,2021-07-13,88
E40000003,London,nhsRegion,2021-07-12,96
E40000003,London,nhsRegion,2021-07-11,66
E40000003,London,nhsRegion,2021-07-10,64
E40000003,London,nhsRegion,2021-07-09,68
E40000003,London,nhsRegion,2021-07-08,79
E40000003,London,nhsRegion,2021-07-07,62
E40000003,London,nhsRegion,2021-07-06,52
E40000003,London,nhsRegion,2021-07-05,55
E40000003,London,nhsRegion,2021-07-04,54
E40000003,London,nhsRegion,2021-07-03,42
E40000003,London,nhsRegion,2021-07-02,32
E40000003,London,nhsRegion,2021-07-01,30
E40000003,London,nhsRegion,2021-06-30,51
E40000003,London,nhsRegion,2021-06-29,51
E40000003,London,nhsRegion,2021-06-28,31
E40000003,London,nhsRegion,2021-06-27,38
E40000003,London,nhsRegion,2021-06-26,35
E40000003,London,nhsRegion,2021-06-25,26
E40000003,London,nhsRegion,2021-06-24,22
E40000003,London,nhsRegion,2021-06-23,29
E40000003,London,nhsRegion,2021-06-22,26
E40000003,London,nhsRegion,2021-06-21,19
E40000003,London,nhsRegion,2021-06-20,32
E40000003,London,nhsRegion,2021-06-19,31
E40000003,London,nhsRegion,2021-06-18,26
E40000003,London,nhsRegion,2021-06-17,31
E40000003,London,nhsRegion,2021-06-16,25
E40000003,London,nhsRegion,2021-06-15,37
E40000003,London,nhsRegion,2021-06-14,33
E40000003,London,nhsRegion,2021-06-13,34
E40000003,London,nhsRegion,2021-06-12,27
E40000003,London,nhsRegion,2021-06-11,28
E40000003,London,nhsRegion,2021-06-10,29
E40000003,London,nhsRegion,2021-06-09,33
E40000003,London,nhsRegion,2021-06-08,20
E40000003,London,nhsRegion,2021-06-07,17
E40000003,London,nhsRegion,2021-06-06,27
E40000003,London,nhsRegion,2021-06-05,16
E40000003,London,nhsRegion,2021-06-04,16
E40000003,London,nhsRegion,2021-06-03,20
E40000003,London,nhsRegion,2021-06-02,19
E40000003,London,nhsRegion,2021-06-01,29
E40000003,London,nhsRegion,2021-05-31,20
E40000003,London,nhsRegion,2021-05-30,18
E40000003,London,nhsRegion,2021-05-29,17
E40000003,London,nhsRegion,2021-05-28,19
E40000003,London,nhsRegion,2021-05-27,17
E40000003,London,nhsRegion,2021-05-26,19
E40000003,London,nhsRegion,2021-05-25,16
E40000003,London,nhsRegion,2021-05-24,17
E40000003,London,nhsRegion,2021-05-23,13
E40000003,London,nhsRegion,2021-05-22,14
E40000003,London,nhsRegion,2021-05-21,13
