country,year,HFI,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Nigeria,2008,6.1,4.938560486,8.457560539,0.779640496,42.48829269,0.584221542,0.107069664,0.891890109,0.739536643,0.244094297,0.455402017,-1.298116446,-0.927431524,1.696233869,0.343467265,,0.4155,
Nigeria,2010,5.82,4.760275841,8.546782494,0.823823035,43.30582428,0.565351069,0.054936271,0.910719037,0.782049537,0.19034341,0.288010925,-1.494105101,-1.024875164,1.9229002,0.403947234,,0.4155,0.43065536
Nigeria,2012,5.49,5.492954254,8.582878113,0.817579567,44.03263855,0.651688874,0.054680578,0.900431395,0.810905516,0.209099486,0.303561687,-1.371146798,-1.006082296,1.732020974,0.315316826,,0.4155,0.48107487
Nigeria,2016,5.75,5.219567776,8.60056591,0.804766953,45.50125122,0.797690511,0.032186322,0.904706836,0.731986105,0.2518363,0.414326072,-1.074466944,-1.025677562,2.519959211,0.482790768,,0.4155,0.500532091
North Cyprus,2012,6.29,5.463305473,,0.871150076,,0.692567647,,0.854729652,0.709236085,0.405434668,0.414000452,,,2.743689299,0.502203166,,,0.36829868
North Cyprus,2014,,5.785978794,,0.801801682,,0.829677284,,0.692221284,0.723841786,0.311335862,0.412389994,,,2.341181278,0.404630125,,,0.354395449
North Cyprus,2016,,5.827127934,,0.807690263,,0.796233833,,0.670191407,0.64366436,0.346465379,0.440594882,,,1.857637882,0.31879133,,,0.293435723
Norway,2008,,7.632287502,11.07575607,0.935878932,69.78147125,0.947288871,-0.008598682,0.502776325,0.791722357,0.155095205,0.540759981,1.416594386,1.772885442,1.53296864,0.200853109,0.27,0.271727273,
Norway,2012,,7.678277016,11.05094433,0.947657406,70.52483368,0.946565866,0.120922364,0.368042678,0.822749853,0.212821111,0.663340509,1.527816534,1.917715073,1.746017814,0.227397084,0.257,0.271727273,0.318803996
Norway,2014,,7.444470882,11.05752373,0.941161931,71.086586,0.956316173,0.154694989,0.404825836,0.833696604,0.194354936,0.699690521,1.402022839,1.932635188,1.637590885,0.219974115,0.268,0.271727273,0.413273871
Norway,2016,,7.596331596,11.06943226,0.959742844,71.086586,0.954352319,0.106471196,0.409666121,0.849625945,0.209262192,0.657646239,1.374089599,1.950178385,1.579264879,0.207898363,,0.271727273,0.349659204
Pakistan,2008,,4.413918972,8.360079765,0.372907877,55.64338684,0.335223645,0.086557098,0.847682595,0.655062497,0.320658326,0.409197897,-1.705630779,-0.796416998,2.666694641,0.604155779,,0.312571429,
