ISO_code,country,year,HFI 2018,GDP-PPP-PC 2018,POP 2018,GDP-GROWTH,GDP-GROWTH-2008,DI
BLZ,Belize,2014,5.8,7323.144701,383071,,,
BLZ,Belize,2016,7.14,7207.005184,383071,,,
BLZ,Belize,2018,6.92,7261.87,383071,2.908565072,3.489802978,n
BEN,Benin,2008,6.87,2738.19,11485035,,,5.74
BEN,Benin,2010,6.33,2704.705484,11485035,,,5.74
BEN,Benin,2012,6.44,2759.848256,11485035,,,5.74
BEN,Benin,2014,6.82,2975.854782,11485035,,,5.74
BEN,Benin,2016,6.69,2961.440416,11485035,,,5.74
BEN,Benin,2018,6.81,3160.78,11485035,6.697259461,4.896577084,5.74
BTN,Bhutan,2008,N,6995.78,754396,,,5.3
BTN,Bhutan,2014,6.82,9574.029004,754396,,,5.3
BTN,Bhutan,2016,6.56,10775.19031,754396,,,5.3
BTN,Bhutan,2018,6.52,11348.44,754396,3.055129837,4.799460612,5.3
BOL,Bolivia,2008,6.85,6351.23,11353140,,,5.7
BOL,Bolivia,2010,6.85,6612.803357,11353140,,,5.7
BOL,Bolivia,2012,7.04,7081.386128,11353140,,,5.7
BOL,Bolivia,2014,6.98,7730.638402,11353140,,,5.7
BOL,Bolivia,2016,6.82,8202.544232,11353140,,,5.7
BOL,Bolivia,2018,6.78,8655.53,11353140,4.223623653,6.148497195,5.7
BIH,Bosnia and Herzegovina,2008,7.46,11035.04,3323929,,,4.98
BIH,Bosnia and Herzegovina,2010,7.42,10938.28505,3323929,,,4.98
BIH,Bosnia and Herzegovina,2012,7.34,11257.83507,3323929,,,4.98
BIH,Bosnia and Herzegovina,2014,7.33,12066.58706,3323929,,,4.98
BIH,Bosnia and Herzegovina,2016,7.41,13194.3254,3323929,,,4.98
BIH,Bosnia and Herzegovina,2018,7.34,14386.73,3323929,3.740071092,5.441846789,4.98
BWA,Botswana,2008,6.99,14616,2254067,,,7.81
BWA,Botswana,2010,6.79,14126.38227,2254067,,,7.81
BWA,Botswana,2012,6.66,15245.98099,2254067,,,7.81
BWA,Botswana,2014,6.7,17264.3958,2254067,,,7.81
BWA,Botswana,2016,7.29,17117.27279,2254067,,,7.81
BWA,Botswana,2018,7.35,17634.66,2254067,4.478836553,6.245437363,7.81
BRA,Brazil,2008,7.23,14114.97,209469320,,,6.97
BRA,Brazil,2010,7.17,14873.20832,209469320,,,6.97
BRA,Brazil,2012,6.98,15478.78929,209469320,,,6.97
BRA,Brazil,2014,6.81,15749.51216,209469320,,,6.97
BRA,Brazil,2016,6.68,14451.15284,209469320,,,6.97
BRA,Brazil,2018,6.83,14668.26,209469320,1.783666761,5.094195447,6.97
BRN,Brunei Darussalam,2008,N,68856.16,428960,,,
BRN,Brunei Darussalam,2010,6.64,67753.42177,428960,,,
BRN,Brunei Darussalam,2012,6.76,69090.34149,428960,,,
BRN,Brunei Darussalam,2014,7.04,64190.82415,428960,,,
BRN,Brunei Darussalam,2016,6.46,60867.29187,428960,,,
