 Countries (2011) ,PERSONAL FREEDOM,ECONOMIC FREEDOM,HUMAN FREEDOM INDEX,GDP PER CAPITA
 Singapore ,7.1,8.66,7.88,81538.36518
 Slovakia ,8.89,7.43,8.16,26107.82871
 Slovenia ,9,6.57,7.79,33573.33551
 South Africa ,7.33,6.8,7.07,12666.70802
 Spain ,8.68,7.4,8.04,36884.25924
 Sri Lanka ,5.89,6.65,6.27,9827.622086
 Suriname ,8.26,6.51,7.39,19716.93177
 Swaziland ,4.36,6.84,5.6,7575.715587
 Sweden ,9.55,7.5,8.52,48947.43931
 Switzerland ,9.4,8.23,8.82,66342.01082
 Syria ,5.05,6.36,5.71,
 Taiwan ,8.76,7.67,8.22,
 Tajikistan ,6.23,6.45,6.34,2510.157332
 Tanzania ,6.56,6.84,6.7,2098.276605
 Thailand ,7.11,6.63,6.87,14450.47883
 Togo ,5.42,5.51,5.46,1683.856263
 Trinidad and Tobago ,6.79,6.98,6.88,28621.10651
 Tunisia ,5.89,6.59,6.24,9820.963509
 Turkey ,7.27,7.07,7.17,21932.29457
 Uganda ,5.61,7.14,6.38,1972.310403
 Ukraine ,7.67,6.19,6.93,12466.80779
 United Arab Emirates ,4.38,8.06,6.22,56123.47988
 United Kingdom ,9.29,7.81,8.55,42294.12046
 United States of America ,8.79,7.7,8.24,54758.83327
 Uruguay ,8.7,7.37,8.03,20231.57316
 Venezuela ,6.69,3.96,5.32,
 Vietnam ,5.94,6.26,6.1,5352.022081
 Yemen ,2.91,6.38,4.64,
 Zambia ,6.4,7.11,6.75,3201.288029
 Zimbabwe ,4.68,4.97,4.83,2764.338916
